vendor_guid,object_type,title,description,friendly_description,display_name,calculation_method,calculation_int,parent_guids,workflow_state,mastery_points,ratings,,,,,,,,,
GERO_DEPT,group,Gerontology (GERO),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
HEBR_DEPT,group,Hebrew (HEBR),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
HED_DEPT,group,Health Education (HED),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
KINT_DEPT,group,Kinesiology Theory (KINT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
LAC_DEPT,group,Learning Assistance Center (LAC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
LASR_DEPT,group,Laser Technology (LASR),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
LATN_DEPT,group,Latin (LATN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
LIB_DEPT,group,Library (LIB),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
LING_DEPT,group,Linguistics,,,,,,PASADENA_ROOT,active,,,,,,,,,,,
MA_DEPT,group,Medical Assisting (MA),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
MACH_DEPT,group,Machine Shop (MACH),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
HLSC_DEPT,group,Health Sciences (HLSC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
canvas_outcome_group:552743,group,Agriculture Plant Science (AGPS),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
canvas_outcome_group:554633,group,Pharmacology (PHRM),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
RDTC_DEPT,group,Radiological Technology (RDTC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
canvas_outcome_group:548825,group,High School Equivalency (HSE),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
WELD_DEPT,group,Welding (WELD),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
TVR_DEPT,group,Television and Radio (TVR),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ARBC_DEPT,group,Arabic (ARBC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ITAL_DEPT,group,Italian (ITAL),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
COLL_DEPT,group,College 1 (COLL),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
COSM_DEPT,group,Cosmetology (COSM),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
COUN_DEPT,group,Counseling Instruction (COUN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
CS_DEPT,group,Computer Science (CS),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
DA_DEPT,group,Dental Assisting (DA),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
DH_DEPT,group,Dental Hygiene (DH),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
DMA_DEPT,group,Design/Media Arts (DMA),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
DSPS_DEPT,group,DSP&S,,,,,,PASADENA_ROOT,active,,,,,,,,,,,
DT_DEPT,group,Design Technology (DT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ECON_DEPT,group,Economics (ECON),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
EDUC_DEPT,group,Education (EDUC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
GEOL_DEPT,group,Geology (GEOL),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
GREK_DEPT,group,Greek (GREK),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
GRFN_DEPT,group,Graphic Design Non-credit (GRFN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
GRMN_DEPT,group,German (GRMN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
NUTR_DEPT,group,Nutrition (NUTR),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
OLAD_DEPT,group,Educational Programs for Older Adults (OLAD),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
PAR_DEPT,group,Parent Education (PAR),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
NURS_DEPT,group,Nursing (NURS),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
AT_DEPT,group,Anesthesia Technology (AT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
canvas_outcome_group:552695,group,Wildland Fire Tech,,,,,,PASADENA_ROOT,active,,,,,,,,,,,
canvas_outcome_group:548458,group,ISLO,,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ESLV_DEPT,group,ESL Vocational Non-credit (ESLV),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
RUSS_DEPT,group,Russian (RUSS),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
FIRE_DEPT,group,Fire Technology (FIRE),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
canvas_outcome_group:542432,group,Social Sciences (SOSC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ABE_DEPT,group,Adult Basic Education (ABE),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ACCT_DEPT,group,Accounting/Bookkeeping and Account Clerk (ACCT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
AHSD_DEPT,group,Adult High School Diploma (AHSD),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
AJ_DEPT,group,Administration of Justice (AJ),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ANAT_DEPT,group,Anatomy (ANAT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ANTH_DEPT,group,Anthropology (ANTH),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ARCH_DEPT,group,Architecture (ARCH),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ARMN_DEPT,group,Armenian (ARMN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ART_DEPT,group,Art (ART),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ASL_DEPT,group,American Sign (ASL),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ASTR_DEPT,group,Astronomy (ASTR),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
AUTO_DEPT,group,Automotive Technology (AUTO),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
BIOL_DEPT,group,Biology (BIOL),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
BIT_DEPT,group,Business Information Technology (BIT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
BLDG_DEPT,group,Construction Inspection (BLDG),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
BLDN_DEPT,group,Building Construction Non-credit (BLDN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
BUS_DEPT,group,Business Division (BUS),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
BUSN_DEPT,group,Business Non-credit (BUSN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
CHDN_DEPT,group,Child Development Non-credit (CHDN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
CHDV_DEPT,group,Child Development (CHDV),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
CHEM_DEPT,group,Chemistry (CHEM),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
CINE_DEPT,group,Cinema (CINE),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
CIS_DEPT,group,Computer Information Systems (CIS),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ELTN_DEPT,group,Electronics (ELTN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ELTY_DEPT,group,Electrical Technology (ELTY),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
EMED_DEPT,group,Emergency Medical Technician (EMED),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ENGL_DEPT,group,English (ENGL),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ENGR_DEPT,group,Engineering (ENGR),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ENVS_DEPT,group,Environmental Studies (ENVS),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ESL_DEPT,group,English as a Second Language (ESL),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ESLN_DEPT,group,ESL Non-Credit (ESLN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ETH_DEPT,group,Ethnic Studies (ETH),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
FRNC_DEPT,group,French (FRNC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
GED_DEPT,group,General Education Development (GED),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
GEOG_DEPT,group,Geography and GIS (GEOG),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
GLBL_DEPT,group,Global Studies (GLBL),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
HIST_DEPT,group,History (HIST),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
HLTN_DEPT,group,Health Non Credit (HLTN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
HOSP_DEPT,group,Hospitality (HOSP),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
HUM_DEPT,group,Humanities (HUM),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
IMME_DEPT,group,Immigration Education (IMME),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
JAPN_DEPT,group,Japanese (JAPN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
JOUR_DEPT,group,Journalism (JOUR),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
KATH_DEPT,group,Kinesiology Athletics (KATH),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
KINA_DEPT,group,Kinesiology Activity (KINA),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
MICR_DEPT,group,Microbiology (MICR),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
MIT_DEPT,group,Manufacturing & Industrial Technology (MIT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
MRKT_DEPT,group,Marketing (MRKT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
MUSP_DEPT,group,Popular Music (MUSP),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
MUSC_DEPT,group,Music (MUSC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
PHIL_DEPT,group,Philosophy (PHIL),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
PHOT_DEPT,group,Photography (PHOT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
PHSC_DEPT,group,Physical Science (PHSC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
PHYS_DEPT,group,Physics (PHYS),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
PLGL_DEPT,group,Paralegal Studies (PLGL),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
POLS_DEPT,group,Political Science (POLS),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
PORT_DEPT,group,Portuguese (PORT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
PSYC_DEPT,group,Psychology (PSYC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
PYSO_DEPT,group,Physiology (PYSO),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
RDT_DEPT,group,Restorative Dental Technology (RDT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
RELG_DEPT,group,Religious Studies (RELG),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
SOC_DEPT,group,Sociology (SOC),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
SPAN_DEPT,group,Spanish (SPAN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
SPCH_DEPT,group,Speech Communication (SPCH),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
SPEA_DEPT,group,Special Education (SPEA),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
TECH_DEPT,group,Tech (TECH),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
STAT_DEPT,group,Statistics (STAT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
THRT_DEPT,group,Theater Arts (THRT),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
TRLN_DEPT,group,Translation (TRLN),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
WRKP_DEPT,group,Workforce Preparation (WRKP),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
SLPA_DEPT,group,Speech Language Pathology Assistant (SLPA),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
MATH_DEPT,group,Mathematics (MATH),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
COMM_DEPT,group,Communication (COMM),,,,,,PASADENA_ROOT,active,,,,,,,,,,,
ACCT_SUBJ,group,ACCT - SUBJECT LEVEL TEST,,,,,,BUS_DIV,active,,,,,,,,,,,
NWOW1.1,group,ACES-ILOs (Test Only),"<p>--TEST ONLY--</p>
<p>Chaffey College Academic, Career/Community, &amp; Employability Skills Outcomes&nbsp; (formerly NWOW/ New World of Work Outcomes and Competencies)</p>",,,,,canvas_outcome_group:520834,active,,,,,,,,,,,
canvas_outcome_group:408199,group,College,,,,,,canvas_outcome_group:408147,active,,,,,,,,,,,
canvas_outcome_group:408200,group,Counseling,,,,,,canvas_outcome_group:408147,active,,,,,,,,,,,
canvas_outcome_group:408165,group,Anesthesia Technology,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408167,group,Dental Hygiene,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408168,group,Dental Laboratory Technology,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408169,group,Emergency Medical Technology,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408174,group,Personal Care Assistant,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408166,group,Dental Assisting,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408170,group,Gerontology,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408175,group,Radiologic Technology,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408171,group,Medical Assisting,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408172,group,Nutrition,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408173,group,Nursing,,,,,,canvas_outcome_group:408145,active,,,,,,,,,,,
canvas_outcome_group:408232,group,Physiology,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408224,group,Geology,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408227,group,Kinesiology - Theory,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408228,group,Mathematics,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408233,group,Statistics,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408226,group,Kinesiology - Activity,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408229,group,Microbiology,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408219,group,Chemistry,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408220,group,Computer Science,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408217,group,Astronomy,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408222,group,Environmental Studies,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408223,group,Geography,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408231,group,Physics,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408225,group,Health Education,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408218,group,Biology,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408230,group,Physical Science,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408216,group,Anatomy,,,,,,canvas_outcome_group:408150,active,,,,,,,,,,,
canvas_outcome_group:408176,group,Accounting,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408196,group,Technical Education (General),,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408177,group,Administration of Justice,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408188,group,Engineering,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408178,group,Automotive Technology,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408179,group,Building Construction,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408180,group,Business (General),,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408181,group,Business Information Technology,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408182,group,Computer Information Systems,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408198,group,Welding,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408183,group,Cosmetology,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408184,group,Culinary Arts,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408185,group,Design Technology,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408186,group,Electricity,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408187,group,Electronics,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408189,group,Fire Technology,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408190,group,Graphic Communications Technology,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408191,group,Hospitality,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408192,group,Machine Shop,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408193,group,Marketing,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408194,group,Paralegal Studies,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408195,group,Statistics,,,,,,canvas_outcome_group:408146,active,,,,,,,,,,,
canvas_outcome_group:408512,group,Foreign Language Study,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408514,group,German,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408515,group,Greek,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408516,group,Hebrew,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408517,group,History,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408518,group,Humanities,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408523,group,Latin,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408522,group,Japanese,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408524,group,Linguistics,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408525,group,Philosophy,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408526,group,Political Science,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408527,group,Portuguese,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408499,group,American Institutions,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408501,group,American Sign Language,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408513,group,French,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408502,group,Anthropology,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408503,group,Arabic,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408504,group,Armenian,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408505,group,Child Development,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408519,group,Italian,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408506,group,Chinese,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408508,group,Economics,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408509,group,Education,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408511,group,English as a Second Language,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408510,group,English,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408532,group,Sociology,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408534,group,Special Education Technology,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408536,group,Statistics,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408528,group,Psychology,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408529,group,Russian,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408530,group,Religious Studies,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408531,group,Social Sciences,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408533,group,Spanish,,,,,,canvas_outcome_group:408148,active,,,,,,,,,,,
canvas_outcome_group:408201,group,Library,,,,,,canvas_outcome_group:408149,active,,,,,,,,,,,
canvas_outcome_group:408202,group,Kinesiology – Intercollegiate,,,,,,canvas_outcome_group:408151,active,,,,,,,,,,,
canvas_outcome_group:408203,group,Special Services,,,,,,canvas_outcome_group:408152,active,,,,,,,,,,,
canvas_outcome_group:408213,group,Speech Language Pathology Assistant,,,,,,canvas_outcome_group:408153,active,,,,,,,,,,,
canvas_outcome_group:408208,group,Fashion,,,,,,canvas_outcome_group:408153,active,,,,,,,,,,,
canvas_outcome_group:408211,group,Photography,,,,,,canvas_outcome_group:408153,active,,,,,,,,,,,
canvas_outcome_group:408206,group,Communication,,,,,,canvas_outcome_group:408153,active,,,,,,,,,,,
canvas_outcome_group:408210,group,Music,,,,,,canvas_outcome_group:408153,active,,,,,,,,,,,
canvas_outcome_group:408212,group,Speech Communication,,,,,,canvas_outcome_group:408153,active,,,,,,,,,,,
canvas_outcome_group:408204,group,Architecture,,,,,,canvas_outcome_group:408153,active,,,,,,,,,,,
